C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C16:1
C17:1
C18:1
C19:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D3:1
D4:1
J1:1
J2:1
J3:1
J4:1
J5:1
Q2:1
Q3:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R6:1
R7:1
R8:1
R9:1
REF**:1
SW1:1
SW2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
kibuzzard-66E82444:1
kibuzzard-66E824C4:1
kibuzzard-66E83A4A:1
kibuzzard-66E83A64:1
